ID,title,author,rating,genre
335,The Infinite Game,Simon Sinek,3.8,"Business &amp, Economics , Leadership"
336,Civil Engineering Guide for GATE/ PSUs,Disha Experts,4.1,none
337,"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,4.7,"Business &amp, Economics , Personal Success"
338,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,"Fiction , Psychological"
339,Attack on Titan: Volume 13,Hajime Isayama,4.6,"Comics &amp, Graphic Novels , Manga , Science Fiction"
340,Batman: Arkham Knight Vol. 3,Peter J. Tomasi,4.3,none
341,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,4.3,none
342,The Art Of Seduction,Robert Greene,4.5,none
343,Total Control,David Baldacci,4.0,none
344,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,"Fiction , Fantasy , Action &amp, Adventure"
345,Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,5.0,none
346,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,none
347,The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,"Fiction , Classics"
348,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,"Self-Help , Personal Growth , General"
349,The Mysterious Affair at Styles,Agatha Christie,4.4,none
350,Antiques Chop,Barbara Allan,4.5,"Fiction , Mystery &amp, Detective , Amateur Sleuth"
351,Killer Blonde,Laura Levine,4.0,"Fiction , Mystery &amp, Detective , Women Sleuths"
352,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.1,none
353,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,"Fiction , Fantasy , Dark Fantasy"
354,Diabolical,Jana DeLeon,4.8,"Fiction , Mystery &amp, Detective , Women Sleuths"
355,The Vagrant (The Vagrant Trilogy),Peter Newman,4.2,"Fiction , Fantasy , Dragons &amp, Mythical Creatures"
356,Spider-Man: Anti-Venom,Dan Slott,4.0,"Comics &amp, Graphic Novels , Superheroes"
357,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,"Biography &amp, Autobiography , Historical"
358,The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,,"Business &amp, Economics , Budgeting"
359,Deadpool Kills the Marvel Universe,Cullen Bunn,4.2,none
360,Kingdom Of Strangers,Zoe Ferraris,4.5,"Fiction , Mystery &amp, Detective , General"
361,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.7,none
362,Ready Player One,Ernest Cline,4.6,"Fiction , Science Fiction , Action &amp, Adventure"
363,Final Option: 'The best one yet',Clive Cussler,5.0,none
364,The Law of Success in Sixteen Lessons,Napoleon Hill,4.7,none
365,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,"Fiction , Science Fiction , Action &amp, Adventure"
366,Platform: Get Noticed in a Noisy World,Michael Hyatt,4.6,none
367,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,"Business &amp, Economics , Entrepreneurship"
368,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,"Juvenile Fiction , Science Fiction"
369,Salvaged,Madeleine Roux,4.0,"Fiction , Horror"
370,Diabolical,Jana DeLeon,4.8,none
371,Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,5.0,none
372,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,"Fiction , Fantasy , General"
373,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,5.0,"Technology &amp, Engineering , General"
374,Watchmen (2019 Edition),Alan Moore,4.2,none
375,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5.0,"Business &amp, Economics , Management Science"
376,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,"Self-Help , General"
377,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,none
378,Death Masks,Jim Butcher,4.8,"Fiction , Fantasy , Paranormal"
379,Marketing (The Brian Tracy Success Library),Brian Tracy,,"Business &amp, Economics , Marketing , Multilevel"
380,Batman vs. Superman: The Greatest Battles,Geoff Johns,4.4,"Comics &amp, Graphic Novels , Superheroes"
381,The Queen of Nothing (The Folk of the Air #3),Holly Black,5.0,"Fiction , Fantasy , Dark Fantasy"
382,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,,"Business &amp, Economics , Business Communication , General"
383,Business Strategy (The Brian Tracy Success Library),Brian Tracy,,"Business &amp, Economics , Management"
384,Dark Matter: A Novel,Blake Crouch,4.4,none
385,Total Control,David Baldacci,4.0,"Fiction , Crime"
386,The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,4.6,"Fiction , Fantasy , General"
387,Dead Silent,Shirley Wells,4.0,none
388,Gangster: A Novel,Lorenzo Carcaterra,4.5,"Fiction , Thrillers , Crime"
389,Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,4.4,"Fiction , Thrillers , Suspense"
390,"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,2.5,"Computers , Electronic Commerce"
391,The Queen of Nothing (The Folk of the Air #3),Holly Black,5.0,none
392,HR from the Outside In: Six Competencies for the Future of Human Resources,David Ulrich,3.6,"Business &amp, Economics , Training"
393,Batman: The Man Who Laughs,Ed Brubaker,4.5,none
394,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.1,"Psychology , Social Psychology"
395,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,,"Business &amp, Economics , Decision-Making &amp, Problem Solving"
396,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,none
397,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,"Fiction , Fantasy , Dragons &amp, Mythical Creatures"
398,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,4.5,none
399,"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,2.5,"Computers , System Administration , Storage &amp, Retrieval"
400,Boy Erased: A Memoir,Garrard Conley,4.0,"Biography &amp, Autobiography , Literary Figures"
401,Shall We Tell the President?,Jeffrey Archer,4.5,"Fiction , Thrillers , Political"
402,"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,,"Medical , Internal Medicine"
403,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.5,none
404,Working With You is Killing Me: Freeing Yourself from Emotional Traps at Work,Katherine Crowley,4.0,"Self-Help , Communication &amp, Social Skills"
405,Ask A Footballer,James Milner,,none
406,The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,4.6,none
407,Avengers Vol. 1: Avengers World,Jonathan Hickman,4.2,none
408,10 Ways to be less consumerist,James Fries,,"Business &amp, Economics , Personal Finance , General"
409,That Time I got Reincarnated as a Slime 11,Story by FUSE,5.0,none
410,"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,4.1,none
411,"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,,none
412,Management (The Brian Tracy Success Library),Brian Tracy,,"Business &amp, Economics , Decision-Making &amp, Problem Solving"
413,The Mysterious Affair at Styles,Agatha Christie,4.4,"Fiction , Mystery &amp, Detective , General"
414,"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,"Fiction , Fantasy , Dark Fantasy"
415,Spider-Verse: Volume 1,Dan Slott,4.4,"Comics &amp, Graphic Novels , Superheroes"
416,Mrs. Pollifax Unveiled,Dorothy Gilman,3.9,"Fiction , Thrillers , Suspense"
417,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,"Self-Help , Self-Management , Stress Management"
418,The Choice of Magic,Michael G. Manning,4.8,"Young Adult Fiction , Fantasy , Epic"
419,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,"Juvenile Fiction , Science Fiction"
420,We Should All Be Feminists,Chimamanda Ngozi Adichie,4.2,"Social Science , Gender Studies"
421,Spider-Man: Kraven's Last Hunt,J. M. DeMatteis,4.6,"Comics &amp, Graphic Novels , Superheroes"
422,The Umbrella Academy: Apocalypse Suite #1,Gerard Way,4.8,"Comics & Graphic Novels , General"
423,Final Option: 'The best one yet',Clive Cussler,5.0,"Fiction , Thrillers , Espionage"
424,The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,"Fiction , Thrillers , Psychological"
425,"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,"Fiction , Fantasy , Dragons &amp, Mythical Creatures"
426,Green Lantern: Secret Origin,Geoff Johns,4.6,none
427,The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,"History , Military , Strategy"
428,Venomized,Cullen Bunn,4.5,none
429,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,"Fiction , Action &amp, Adventure"
430,Final Option,Clive Cussler,4.9,none
431,No One Is Too Small to Make a Difference,Greta Thunberg,5.0,"Nature , Environmental Conservation &amp, Protection"
432,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5.0,none
433,Find Me: A TOP TEN SUNDAY TIMES BESTSELLER,André Aciman,4.6,none
434,How to Understand Business Finance: Edition 2,Bob Cinnamon,3.5,"Business &amp, Economics , Finance , General"
435,Shantaram,Gregory David Roberts,4.5,none
436,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,none
437,Ready Player One,Ernest Cline,4.6,"Fiction , Thrillers , General"
438,Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,5.0,none
439,Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,4.7,none
440,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2,none
441,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,none
442,The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,4.7,"Fiction , Fantasy , General"
443,Batman Vol. 4: Zero Year-Secret City (The New 52),Scott Snyder,4.4,none
444,The Man in the High Castle,Philip K. Dick,4.0,none
445,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,"Business &amp, Economics , Personal Success"
446,The Art of Super Mario Odyssey,Nintendo,3.9,"Art , Popular Culture"
447,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.6,"Fiction , Fantasy , Epic"
448,Rogues,George R. R. Martin,4.1,none
449,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,"Fiction , Action &amp, Adventure"
450,After Anna,Alex Lake,4.1,"Fiction , Action &amp, Adventure"
451,The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,,none
452,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5.0,none
453,"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,none
454,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,"Fiction , Fantasy , General"
455,How to Win Friends and Influence People,Dale Carnegie,4.4,"Self-Help , General"
456,Wedge's Gamble: Star Wars Legends (X-Wing),Michael A. Stackpole,4.5,"Fiction , Science Fiction , Action &amp, Adventure"
457,The Call of Cthulhu,H. P. Lovecraft,4.9,none
458,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,"Body, Mind &amp, Spirit , Inspiration &amp, Personal Growth"
459,Rework,Jason Fried,4.1,"Business &amp, Economics , Entrepreneurship"
460,Spider-Verse: Volume 1,Dan Slott,4.4,none
461,The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,4.7,"Fiction , Fantasy , Epic"
462,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,4.6,"Self-Help , General"
463,Summary: Think and Grow Rich,Nine99 Innovation Lab,,"Business & Economics , Accounting , General"
464,No One Is Too Small to Make a Difference,Greta Thunberg,5.0,"Biography &amp, Autobiography , Environmentalists &amp, Naturalists"
465,The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,4.7,"Fiction , Thrillers , Psychological"
466,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.8,none
467,Sonic the Hedgehog #18,Ian Flynn,4.7,"Comics & Graphic Novels , Science Fiction"
468,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,"Self-Help , Personal Growth , Success"
469,God of War: The Official Novelization,J.M. Barlog,4.5,none
470,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,4.8,"Psychology , Physiological Psychology"
471,PSYCHOANALYSIS FOR BEGINNERS: A General Introduction to Psychoanalysis & Dream Psychology,Sigmund Freud,4.2,"Psychology , Movements , Psychoanalysis"
472,A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,none
473,Dark Matter: A Novel,Blake Crouch,4.4,none
474,Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",4.3,"Self-Help , Personal Growth , Success"
475,Sonic the Hedgehog #18,Ian Flynn,4.7,"Comics & Graphic Novels , Science Fiction"
476,Darksiders: The Abomination Vault: A Novel,Ari Marmell,4.5,"Fiction , Fairy Tales, Folk Tales, Legends &amp, Mythology"
477,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7,"Business &amp, Economics , Personal Finance , Budgeting"
478,Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,none
479,The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,4.6,none
480,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,4.7,none
481,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.5,"Political Science , Civics &amp, Citizenship"
482,Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5.0,"Business &amp, Economics , Theory"
483,10 Ways to be less consumerist,James Fries,,none
484,Forever Evil,Geoff Johns,4.6,none
485,The Guardians: The explosive new thriller from international bestseller John Grisham,John Grisham,,"Fiction , Thrillers , Crime"
486,The Punisher Vol. 1: Black and White,Natahan Edmondson,4.5,"Comics &amp, Graphic Novels , Superheroes"
487,I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,4.4,none
488,Homecoming (A Chloe Fine Psychological Suspense Mystery—Book 5),Blake Pierce,4.6,none
489,Letting Go,"David R. Hawkins, M.D./Ph.D.",4.6,none
490,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,4.5,none
491,The Mysterious Affair at Styles,Agatha Christie,4.4,"Fiction , Classics"
492,The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,"Business &amp, Economics , Motivational"
493,Salvaged,Madeleine Roux,4.0,"Fiction , Science Fiction , Alien Contact"
494,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,,"Fiction , General"
495,Dead Silent,Shirley Wells,4.0,"Fiction , Mystery &amp, Detective , Traditional"
496,Forever Evil,Geoff Johns,4.6,none
497,The Burning White: Book Five of Lightbringer,Brent Weeks,4.9,"Fiction , General"
498,Mega Man #1,Ian Flynn,3.8,"Juvenile Fiction , Humorous Stories"
499,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,none
500,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,4.8,"Fiction , Fantasy , Collections &amp, Anthologies"
501,Strawberry Shortcake Murder,Joanne Fluke,4.0,none
502,Summary: The Compound Effect,Nine99 Innovation Lab,5.0,"Business & Economics , Mentoring & Coaching"
503,Sonic the Hedgehog #22,Ian Flynn,4.2,"Comics & Graphic Novels , Science Fiction"
504,Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,4.7,"Comics &amp, Graphic Novels , Humorous"
505,"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,4.5,"Fiction , Fantasy , Epic"
506,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,"Fiction , Fantasy , Epic"
507,Marvel Universe: The End,Jim Starlin,4.3,none
508,"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,4.1,"Fiction , Mystery &amp, Detective , International Mystery &amp, Crime"
509,Dark Age,Pierce Brown,4.8,"Fiction , Science Fiction , Action &amp, Adventure"
510,Blue Moon: A Jack Reacher Novel,Lee Child,4.4,none
511,That Time I got Reincarnated as a Slime 11,Story by FUSE,5.0,none
512,Death Masks,Jim Butcher,4.8,"Fiction , Fantasy , Urban"
513,Antiques Con,Barbara Allan,4.8,none
514,Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,,"Business &amp, Economics , Workplace Culture"
515,Rogues,George R. R. Martin,4.1,"Fiction , Action &amp, Adventure"
516,Watchmen (2019 Edition),Alan Moore,4.2,none
517,10 Ways to be annoying,James Fries,,"Self-Help , Personal Growth , General"
518,Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,3.8,"Business &amp, Economics , Sales &amp, Selling , General"
519,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.1,"Self-Help , Personal Growth , General"
520,Batman: Arkham Unhinged Vol. 1,Derek Fridolfs,4.0,none
521,"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,3.9,none
522,Homecoming (A Chloe Fine Psychological Suspense Mystery—Book 5),Blake Pierce,4.6,none
523,Working With You is Killing Me: Freeing Yourself from Emotional Traps at Work,Katherine Crowley,4.0,none
524,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,5.0,"Business &amp, Economics , General"
525,Permanent Record,Edward Snowden,4.6,none
526,"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,,none
527,"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,4.7,none
528,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.6,"Fiction , Fantasy , Collections &amp, Anthologies"
529,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,4.3,none
530,The Mysterious Affair at Styles,Agatha Christie,4.4,"Fiction , Horror"
531,Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,4.4,none
532,"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,2.5,"Business &amp, Economics , Information Management"
533,After Anna,Alex Lake,4.1,"Fiction , Thrillers , Suspense"
534,Civil War: Volume 1,Mark Millar,4.5,none
535,How to Win Friends and Influence People,Dale Carnegie,4.4,"Self-Help , Personal Growth , General"
536,15 Delicious Slow Cooker Recipes,Sallie Stone,5.0,none
537,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,"Biography &amp, Autobiography , Science &amp, Technology"
538,Thrawn (Star Wars),Timothy Zahn,4.7,"Fiction , Science Fiction , Space Opera"
539,Sonic the Hedgehog #3,Ian Flynn,4.7,"Comics & Graphic Novels , Science Fiction"
540,The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,4.7,"Fiction , Fantasy , Action &amp, Adventure"
541,Morning Star,Pierce Brown,4.8,none
542,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.6,"Fiction , Fantasy , General"
543,Watchmen (2019 Edition),Alan Moore,4.2,"Comics &amp, Graphic Novels , Superheroes"
544,"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,2.5,"Political Science , Public Affairs &amp, Administration"
545,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,"Humor , General"
546,"The Power of Focus: How to Hit Your Business, Personal and Financial Targets with Confidence and Certainty",Jack Canfield,4.7,none
547,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,4.6,none
548,Martha Stewart's Cookie Perfection: 100+ Recipes to Take Your Sweet Treats to the Next Level: A Baking Book,Editors of Martha Stewart Living,,"Cooking , Holiday"
549,Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.8,"Social Science , Popular Culture"
550,The Walking Dead: Compendium 1,Robert Kirkman,4.5,none
551,Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,"Social Science , Sociology , General"
552,The Queen of Nothing (The Folk of the Air #3),Holly Black,5.0,"Juvenile Fiction , General"
553,Battle Sight Zero,Gerald Seymour,5.0,"Fiction , Thrillers , Crime"
554,Batman Vol. 4: Zero Year-Secret City (The New 52),Scott Snyder,4.4,none
555,"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition: Edition 4",William J. O'Neil,4.3,"Business &amp, Economics , Public Finance"
556,Night of the Bold (Kings and Sorcerers--Book 6),Morgan Rice,4.3,"Fiction , Fantasy , Epic"
557,Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,4.8,none
558,The Witcher #5,Paul Tobin,4.6,"Comics & Graphic Novels , General"
559,Invincible #118,Robert Kirkman,4.0,"Comics & Graphic Novels , Superheroes"
560,Batman and Robin Vol. 1: Batman Reborn,Grant Morrison,4.1,none
561,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,4.3,"Business &amp, Economics , Skills"
562,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,"Fiction , Mystery &amp, Detective , General"
563,The Punisher Vol. 1: Black and White,Natahan Edmondson,4.5,none
564,The Memoirs of Sherlock Holmes,Sir Arthur Conan Doyle,4.7,none
565,Wedge's Gamble: Star Wars Legends (X-Wing),Michael A. Stackpole,4.5,"Fiction , Science Fiction , Space Opera"
566,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,none
567,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,4.7,none
568,The Secret,Rhonda Byrne,4.1,"Body, Mind &amp, Spirit , Inspiration &amp, Personal Growth"
569,Ask A Footballer,James Milner,,none
570,The Queen of Nothing (The Folk of the Air #3),Holly Black,5.0,"Young Adult Fiction , Animals , Mythical Creatures"
571,Bring Me Back,B A Paris,3.8,"Fiction , Women"
572,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,"Business &amp, Economics , Entrepreneurship"
573,Eeny Meeny: DI Helen Grace 1,M. J. Arlidge,4.2,"Fiction , Mystery &amp, Detective , Women Sleuths"
574,"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.6,none
575,The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,4.1,"Business &amp, Economics , Personal Finance , Investing"
576,Candide,Voltaire,4.5,none
577,Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,4.7,none
578,Her Royal Spyness,Rhys Bowen,3.8,none
579,'Salem's Lot,Stephen King,4.4,none
580,Wedge's Gamble: Star Wars Legends (X-Wing),Michael A. Stackpole,4.5,none
581,The Magic of Thinking Big,David J. Schwartz,4.6,none
582,The Umbrella Academy: Apocalypse Suite #1,Gerard Way,4.8,"Comics & Graphic Novels , General"
583,Homecoming (A Chloe Fine Psychological Suspense Mystery—Book 5),Blake Pierce,4.6,"Fiction , Mystery &amp, Detective , General"
584,Diabolical,Jana DeLeon,4.8,"Fiction , Thrillers , Psychological"
585,Green Lantern: Secret Origin,Geoff Johns,4.6,"Comics &amp, Graphic Novels , Superheroes"
586,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5.0,"Biography &amp, Autobiography , Entertainment &amp, Performing Arts"
587,Business Strategy (The Brian Tracy Success Library),Brian Tracy,,"Business &amp, Economics , Workplace Culture"
588,Night of the Bold (Kings and Sorcerers--Book 6),Morgan Rice,4.3,"Fiction , Fantasy , General"
589,Final Option,Clive Cussler,4.9,"Fiction , Thrillers , General"
590,It,Stephen King,4.5,none
591,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,5.0,"Business &amp, Economics , Time Management"
592,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,none
593,Mega Man #1,Ian Flynn,3.8,none
594,Dork Diaries: Spectacular Superstar,Rachel Renee Russell,4.8,none
595,The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7,"Business &amp, Economics , E-Commerce , Online Trading"
596,The Raven,Edgar Allan Poe,3.9,"Fiction , Classics"
597,Sonic the Hedgehog #3,Ian Flynn,4.7,"Comics & Graphic Novels , Science Fiction"
598,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,5.0,none
599,"Chronicle of the Unhewn Throne: (The Emperor's Blades, The Providence of Fire, The Last Mortal Bond)",Brian Staveley,4.3,none
600,All-New Wolverine Vol. 1: The Four Sisters,Tom Taylor,4.5,none
601,Home Work: A Memoir of My Hollywood Years,Julie Andrews,5.0,"Biography &amp, Autobiography , Entertainment &amp, Performing Arts"
602,Battle Sight Zero,Gerald Seymour,5.0,"Fiction , Mystery &amp, Detective , General"
603,The Queen of Nothing (The Folk of the Air #3),Holly Black,5.0,"Fiction , Fantasy , Dragons &amp, Mythical Creatures"
604,Death of a Bachelorette,Laura Levine,4.0,"Fiction , Mystery &amp, Detective , Cozy , General"
605,Principles: Life and Work,Ray Dalio,4.7,"Business &amp, Economics , Personal Finance , General"
606,A Trace of Crime (a Keri Locke Mystery--Book #4),Blake Pierce,4.7,"Fiction , Mystery & Detective , General"
607,The Jump,Doug Johnstone,4.1,none
608,Ready Player One,Ernest Cline,4.6,none
609,Dark Matter: A Novel,Blake Crouch,4.4,"Fiction , Thrillers , Technological"
610,Boy Erased: A Memoir,Garrard Conley,4.0,"Biography &amp, Autobiography , Personal Memoirs"
611,In Dark Company: A Kate Burkholder Short Story,Linda Castillo,4.3,none
612,The Art Of Seduction,Robert Greene,4.5,none
613,Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.3,none
614,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,"Fiction , Fantasy , Action &amp, Adventure"
615,A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,4.5,"Fiction , Science Fiction , Action &amp, Adventure"
616,Spider-Verse: Volume 1,Dan Slott,4.4,none
617,The Red Signal: An Agatha Christie Short Story,Agatha Christie,5.0,"Fiction , Mystery &amp, Detective , Traditional"
618,Bring Me Back,B A Paris,3.8,none
619,A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,4.6,none
620,The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,4.7,none
621,Killer Blonde,Laura Levine,4.0,none
622,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,none
623,Candide,Voltaire,4.5,"Fiction , Classics"
624,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,4.8,none
625,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,"Fiction , Fantasy , Epic"
