ID,title,author,rating,genre
111,"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,"Drama , Shakespeare"
112,W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,4.3,none
113,Sonic: Tangle & Whisper #3,Ian Flynn,4.3,"Comics & Graphic Novels , Science Fiction"
114,Auberon,James S. A. Corey,4.7,none
115,"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,"Fiction , Fantasy , Dragons &amp, Mythical Creatures"
116,"Captain Marvel Vol. 1: Higher, Further, Faster, More",Kelly Sue Deconnick,3.9,"Comics &amp, Graphic Novels , Superheroes"
117,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,"Fiction , Fantasy , Urban"
118,Captivate: The Science of Succeeding with People,Vanessa Van Edwards,4.4,"Self-Help , Communication &amp, Social Skills"
119,My Little Pony: The Feats of Friendship #2,Ian Flynn,5.0,"Comics & Graphic Novels , Fantasy"
120,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,4.8,none
121,Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,4.5,none
122,Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5.0,"Humor , General"
123,"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,4.7,none
124,Antiques Con,Barbara Allan,4.8,"Fiction , Mystery &amp, Detective , Amateur Sleuth"
125,The Art Of Seduction,Robert Greene,4.5,none
126,Maigret Goes to School,Georges Simenon,4.0,"Fiction , Thrillers , Suspense"
127,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,4.3,"Fiction , Fantasy , Epic"
128,A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,4.8,none
129,Antiques Chop,Barbara Allan,4.5,"Fiction , Mystery &amp, Detective , Private Investigators"
130,"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,none
131,Principles: Life and Work,Ray Dalio,4.7,"Business &amp, Economics , General"
132,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,none
133,Ask A Footballer,James Milner,,"Sports &amp, Recreation , Soccer"
134,Young Justice Vol. 1,Art Baltazar,4.1,"Comics &amp, Graphic Novels , Superheroes"
135,The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,"Juvenile Fiction , Fantasy &amp, Magic"
136,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,none
137,10 Ways to be less consumerist,James Fries,,none
138,'Salem's Lot,Stephen King,4.4,"Fiction , Thrillers , Supernatural"
